champion,gameId,lane,role,season,timestamp,accountId,id,name,profileIconId,revisionDate,summonerLevel,game_duration,PID,primary_mastery_0,k,d,a,totalDamage,primary_mastery_1,primary_mastery_2,primary_mastery_3,secondary_mastery_0,secondary_mastery_1,win,KDA
Ashe,2742854136,BOTTOM,DUO_CARRY,11,1521400621699,32971449,20132258,Doublelift,3270,1521402193000,69,1508,5,8005,8,3,6,26030,9101,9103,8017,8233,8236,True,4.666666666666667
Ezreal,2741910370,BOTTOM,DUO_CARRY,11,1521261248158,32971449,20132258,Doublelift,3270,1521402193000,69,1624,6,8359,2,0,5,18654,8304,8345,8347,8236,8226,False,7.0
Kai'Sa,2740513625,BOTTOM,DUO_CARRY,11,1521088298022,32971449,20132258,Doublelift,3270,1521402193000,69,1323,9,8021,9,0,4,13937,9101,9104,8017,8233,8236,True,13.0
Kai'Sa,2740504299,BOTTOM,DUO_CARRY,11,1521085913483,32971449,20132258,Doublelift,3270,1521402193000,69,1522,6,8005,8,1,2,20078,9101,9103,8017,8233,8236,True,10.0
Kai'Sa,2740471304,BOTTOM,DUO_CARRY,11,1521082752299,32971449,20132258,Doublelift,3270,1521402193000,69,2739,1,8005,16,7,8,65888,9101,9103,8017,8233,8236,True,3.4285714285714284
Kai'Sa,2740441480,BOTTOM,DUO_CARRY,11,1521080412913,32971449,20132258,Doublelift,3270,1521402193000,69,1351,8,8005,5,2,3,10363,9101,9103,8017,8233,8236,False,4.0
Xayah,2740095399,BOTTOM,DUO_CARRY,11,1521060922400,32971449,20132258,Doublelift,3270,1521402193000,69,1622,9,8005,2,1,4,15587,9101,9103,8017,8234,8236,True,6.0
Caitlyn,2737729765,BOTTOM,DUO_CARRY,11,1520757084961,32971449,20132258,Doublelift,3270,1521402193000,69,1780,6,8021,2,3,1,16706,9101,9104,8017,8233,8236,False,1.0
Ashe,2736577247,BOTTOM,DUO_CARRY,11,1520653360181,32971449,20132258,Doublelift,3270,1521402193000,69,2234,7,8021,7,8,13,29670,9101,9104,8017,8234,8236,False,2.5
Kai'Sa,2736537652,BOTTOM,DUO_CARRY,11,1520650989393,32971449,20132258,Doublelift,3270,1521402193000,69,1494,6,8021,5,4,5,13371,9101,9104,8017,8234,8236,False,2.5
Caitlyn,2733555605,BOTTOM,DUO_CARRY,11,1520315238091,32971449,20132258,Doublelift,3270,1521402193000,69,2316,9,8021,7,3,5,41488,9101,9104,8017,8233,8236,True,4.0
Kog'Maw,2733545750,BOTTOM,DUO_CARRY,11,1520312489944,32971449,20132258,Doublelift,3270,1521402193000,69,2293,4,8021,6,2,10,26733,9101,9104,8017,8234,8236,True,8.0
Ezreal,2733507353,BOTTOM,DUO_CARRY,11,1520310101523,32971449,20132258,Doublelift,3270,1521402193000,69,1974,2,8359,3,3,16,26290,8304,8345,8347,8236,8226,True,6.333333333333333
Jinx,2733477795,BOTTOM,DUO_CARRY,11,1520307755004,32971449,20132258,Doublelift,3270,1521402193000,69,1613,4,8021,7,2,10,28151,9101,9104,8014,8234,8236,True,8.5
Lucian,2733448405,BOTTOM,DUO_CARRY,11,1520305492077,32971449,20132258,Doublelift,3270,1521402193000,69,1501,8,8005,4,4,5,14713,9101,9104,8014,8236,8226,False,2.25
Varus,2733409422,BOTTOM,DUO_CARRY,11,1520303190655,32971449,20132258,Doublelift,3270,1521402193000,69,1558,2,8021,2,3,6,13796,9101,9104,8017,8234,8236,True,2.6666666666666665
Jinx,2733402171,BOTTOM,DUO_CARRY,11,1520301415640,32971449,20132258,Doublelift,3270,1521402193000,69,1372,3,8021,6,1,5,14494,9101,9104,8017,8233,8236,True,11.0
Xayah,2733372619,BOTTOM,DUO_CARRY,11,1520298899669,32971449,20132258,Doublelift,3270,1521402193000,69,2016,6,8021,4,6,7,29031,9101,9104,8017,8234,8236,False,1.8333333333333333
Tahm Kench,2733113822,BOTTOM,DUO_SUPPORT,11,1520239416583,32971449,20132258,Doublelift,3270,1521402193000,69,1868,9,8351,1,7,10,7414,8304,8345,8410,8473,8429,False,1.5714285714285714
Nami,2733110051,BOTTOM,DUO_SUPPORT,11,1520236833497,32971449,20132258,Doublelift,3270,1521402193000,69,1686,6,8214,2,2,16,10975,8226,8210,8236,8304,8345,True,9.0
Kog'Maw,2733016098,BOTTOM,SOLO,11,1520227337815,32971449,20132258,Doublelift,3270,1521402193000,69,2386,8,8021,3,4,6,32178,9101,9104,8017,8234,8236,False,2.25
Varus,2732991573,BOTTOM,DUO_CARRY,11,1520223393510,32971449,20132258,Doublelift,3270,1521402193000,69,1675,6,8021,6,3,4,17780,9101,9104,8017,8234,8236,False,3.3333333333333335
Caitlyn,2732972143,BOTTOM,DUO_CARRY,11,1520221224737,32971449,20132258,Doublelift,3270,1521402193000,69,1508,6,8021,12,0,7,23684,9101,9104,8017,8233,8236,True,19.0
Ezreal,2730631876,BOTTOM,DUO_CARRY,11,1519974443390,32971449,20132258,Doublelift,3270,1521402193000,69,1839,9,8359,6,7,4,22081,8304,8345,8347,8236,8226,False,1.4285714285714286
Ezreal,2730569318,BOTTOM,DUO_CARRY,11,1519969809064,32971449,20132258,Doublelift,3270,1521402193000,69,1479,7,8359,4,6,5,17961,8304,8345,8347,8236,8226,False,1.5
Ezreal,2730581881,BOTTOM,DUO_CARRY,11,1519967800978,32971449,20132258,Doublelift,3270,1521402193000,69,1405,8,8359,8,1,4,20964,8304,8345,8347,8236,8226,True,12.0
Caitlyn,2730545640,BOTTOM,DUO_CARRY,11,1519966008975,32971449,20132258,Doublelift,3270,1521402193000,69,1422,4,8021,0,5,2,7932,9101,9104,8014,8233,8236,False,0.4
Xayah,2730517079,BOTTOM,DUO_CARRY,11,1519963794335,32971449,20132258,Doublelift,3270,1521402193000,69,1643,9,8128,5,2,5,14711,8126,8120,8135,9111,8014,True,5.0
Caitlyn,2730080970,BOTTOM,DUO_CARRY,11,1519885255672,32971449,20132258,Doublelift,3270,1521402193000,69,2334,1,8021,3,5,6,27284,9101,9104,8014,8233,8236,False,1.8
Xayah,2730074440,BOTTOM,DUO_CARRY,11,1519883292114,32971449,20132258,Doublelift,3270,1521402193000,69,1447,4,8021,8,2,10,22651,9101,9104,8014,8233,8236,True,9.0
Caitlyn,2730024303,BOTTOM,DUO_CARRY,11,1519880039414,32971449,20132258,Doublelift,3270,1521402193000,69,1640,2,8021,8,0,4,21684,9101,9104,8014,8233,8236,True,12.0
Xayah,2729228933,BOTTOM,DUO_CARRY,11,1519796976322,32971449,20132258,Doublelift,3270,1521402193000,69,1309,1,8021,7,2,9,14686,9101,9104,8017,8233,8236,True,8.0
Caitlyn,2729199716,BOTTOM,DUO_CARRY,11,1519794206594,32971449,20132258,Doublelift,3270,1521402193000,69,1491,8,8021,9,1,1,18984,9101,9104,8017,8233,8236,True,10.0
Caitlyn,2729182185,BOTTOM,DUO_CARRY,11,1519791993433,32971449,20132258,Doublelift,3270,1521402193000,69,1715,6,8021,5,7,7,16622,9101,9104,8017,8233,8236,False,1.7142857142857142
Tristana,2729160198,BOTTOM,DUO_CARRY,11,1519789359012,32971449,20132258,Doublelift,3270,1521402193000,69,2142,8,8021,11,2,9,42490,9101,9104,8017,8233,8236,True,10.0
Caitlyn,2729123128,BOTTOM,DUO_CARRY,11,1519787544282,32971449,20132258,Doublelift,3270,1521402193000,69,1205,4,8021,9,1,5,13756,9101,9104,8017,8233,8236,True,14.0
Xayah,2728741935,BOTTOM,DUO_CARRY,11,1519713856726,32971449,20132258,Doublelift,3270,1521402193000,69,2330,4,8021,5,6,7,24319,9101,9104,8017,8234,8236,False,2.0
Xayah,2728699553,BOTTOM,DUO_CARRY,11,1519712290522,32971449,20132258,Doublelift,3270,1521402193000,69,1217,6,8021,8,1,5,14330,9101,9104,8017,8234,8236,True,13.0
Jinx,2728691136,BOTTOM,DUO_CARRY,11,1519709576441,32971449,20132258,Doublelift,3270,1521402193000,69,1638,7,8021,11,1,5,18521,9101,9104,8017,8233,8236,True,16.0
Jinx,2728681186,BOTTOM,DUO_CARRY,11,1519707309024,32971449,20132258,Doublelift,3270,1521402193000,69,1715,5,8021,1,6,3,10765,9101,9104,8017,8233,8236,False,0.6666666666666666
Tristana,2728643583,BOTTOM,DUO_CARRY,11,1519705092994,32971449,20132258,Doublelift,3270,1521402193000,69,1795,2,8021,6,2,0,23658,9101,9104,8017,8233,8236,True,3.0
Kalista,2728614619,BOTTOM,DUO_CARRY,11,1519702924582,32971449,20132258,Doublelift,3270,1521402193000,69,1404,1,8008,2,8,6,10442,9101,9104,8017,8233,8236,False,1.0
Varus,2728582451,BOTTOM,DUO_CARRY,11,1519700002476,32971449,20132258,Doublelift,3270,1521402193000,69,2260,9,8021,11,6,14,48561,9101,9104,8017,8234,8236,False,4.166666666666667
