,TeamName,GP,W,L,AGT,K,D,K_D,CKPM,GPR,GSPD,EGR,MLR
0,100 Thieves,19,13,6,39.1,192,155,1.24,0.47,-0.14,-0.1%,54.1,14.3
1,Cloud9,20,12,8,36.9,223,209,1.07,0.58,0.82,5.1%,62.2,-2.2
2,Clutch Gaming,20,11,9,37.7,171,150,1.14,0.43,-0.13,1.1%,42.9,12.1
3,Counter Logic Gaming,18,7,11,38.2,188,212,0.89,0.58,-0.39,-5.4%,50.2,-11.3
4,Echo Fox,19,12,7,37.6,243,212,1.15,0.64,0.59,4.1%,52.2,11.0
5,FlyQuest,18,6,12,39.6,156,217,0.72,0.52,-0.59,-6.5%,39.4,-6.0
6,Golden Guardians,18,4,14,36.7,156,219,0.71,0.57,-1.00,-6.4%,39.0,-16.8
7,OpTic Gaming,18,5,13,39.2,154,198,0.78,0.50,-1.09,-6.8%,39.4,-11.6
8,Team Liquid,20,12,8,34.1,190,166,1.14,0.52,0.59,4.5%,60.4,-0.4
9,Team SoloMid,20,13,7,39.4,219,154,1.42,0.47,1.12,8.2%,57.3,7.7
