endOfGameStatDescs,iconPath,id,longDesc,name,shortDesc,tooltip
['Total damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/Bully/Bully.png,8126,Damaging champions with <b>impaired movement or actions</b> deals 12 - 30 bonus true damage (based on level).<br><br>Cooldown: 4s<br><rules>Activates on damage occurring after the impairment.</rules>,Cheap Shot,"Deal bonus true damage to enemy champions with <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_ImpairAct"">impaired movement or actions</lol-uikit-tooltipped-keyword>. ",Damaging champions with <b>impaired movement or actions</b> deals 12 - 30 bonus true damage (based on level).<br><br>Cooldown: 4s<br><rules>Activates on damage occurring after the impairment.</rules><br><hr><br>Current Damage: @f2@<br>Total bonus damage dealt: @f1@
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8415,+130 Health,The Arcane Colossus,<pathBonus><pathResolve>Resolve</pathResolve> + <pathSorcery>Sorcery</pathSorcery> Set Bonus</pathBonus>,<pathResolve>Resolve</pathResolve> + <pathSorcery>Sorcery</pathSorcery><br>+130 Health
['Total Bonus Damage: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/GiantSlayer/GiantSlayer.png,8017,"Deal 4% more damage to champions with 150 more max health than you, increasing to 10% at 2000 more max health.",Cut Down,Deal more damage to champions with more max health than you.,"Deal 4% more damage to champions with 150 more max health than you, increasing to 10% at 2000 more max health.<br><br><rules>Minimum bonus is 4%.<br>Maximum bonus is granted against champions with 2000 or more health than you.</rules><br><hr><br>Total bonus damage: <scaleAD>@f1@</scaleAD>"
['Total Healing: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/Feast/GreenTerror_Feast.png,8139,"Heal when you damage an enemy champion.<br><br>Healing: 18-35 (+0.2 bonus AD, +0.1 AP) health (based on level)<br><br>Cooldown: 20s",Taste of Blood,Heal when you damage an enemy champion.,Heal when you damage an enemy champion.<br><br>Healing: <font color='#ffffff'>@f2@</font> (+<scaleAD>@f3@</scaleAD>) (+<scaleAP>@f4@</scaleAP>)<br><br>Cooldown: 20s<br><hr><br>Total Healing: @f1@
"['Total Damage: @eogvar1@', 'Bonus Damage: @eogvar2@', 'Expose Damage: @eogvar3@']",/lol-game-data/assets/v1/perk-images/Styles/Precision/PressThreeAttacks/PressThreeAttacks.png,8005,"Hitting an enemy champion with 3 consecutive basic attacks deals 30 - 120 bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword> (based on level) and makes them vulnerable, increasing the damage they take by 12% from all sources for 6s.",Press the Attack,"Hitting an enemy champion 3 consecutive times makes them vulnerable, dealing bonus damage and causing them to take more damage from all sources for 6s.","Hitting an enemy champion with 3 consecutive basic attacks deals <scaleLevel>@f4@</scaleLevel> bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword> (based on level) and makes them vulnerable, increasing the damage they take by 12% from all sources for 6s.<br><hr><br>Bonus Damage Dealt: <scaleAD>@f2@</scaleAD><br>Total Exposure Damage: <scaleAD>@f3@</scaleAD>"
['Total Healing: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/KSFleetFootwork/KSFleetFootwork.png,8021,"Attacking and moving builds Energy stacks. At 100 stacks, your next attack is Energized.<br><br>Energized attacks heal you for 5 - 50 (+0.1 Bonus AD, +0.2 AP) and grant +30% Movement Speed for 1s.<br><rules>Healing is 60% as effective when used on a minion.</rules>",Fleet Footwork,"Attacking and moving builds Energy stacks. At 100 stacks, your next attack heals you and grants increased <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword>.","Attacking and moving builds Energy stacks. At 100 stacks, your next attack is Energized.<br><br>Energized attacks heal you for <font color='#ffffff'>@f2@</font> (+<scaleAD>@f3@</scaleAD>) (+<scaleAP>@f4@</scaleAP>) and grant +30% Movement Speed for 1s.<br><rules>Healing is 60% as effective when used on a minion.</rules><br><hr><br>Total Healing: @f1@"
['Total Bonus CDR: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/UltiMore/UltiMore.png,8243,"Your ultimate's cooldown is reduced by 5%. Each time you cast your ultimate, its cooldown is further reduced by 2%. Stacks up to 5 times.",The Ultimate Hat,"Your ultimate's cooldown is reduced. Each time you cast your ultimate, its cooldown is further reduced.","Your ultimate's cooldown is reduced by 5%. Each time you cast your ultimate, its cooldown is further reduced by 2%. Stacks up to 5 times.<br><hr><br>Ultimate Cooldown Reduction: +@f1*100@%<br>Stacks: @f3@/5"
['Bonus Minion Damage Dealt: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/TheClearChoice/TheClearChoice.png,8316,"Start the game with 6 Minion Dematerializers that kill and absorb lane minions instantly. Minion Dematerializers are on cooldown for the first 155s of the game.<br><br>Absorbing a minion increases your damage by +4% against that type of minion permanently, and an extra +1% for each additional minion of that type absorbed.<br>",Minion Dematerializer,Start the game with 6 Minion Dematerializers. Killing minions with the item gives permanent bonus damage vs. that minion type.,"Start the game with 6 Minion Dematerializers that kill and absorb lane minions instantly. Minion Dematerializers are on cooldown for the first 155s of the game.<br><br>Absorbing a minion increases your damage by +4% against that type of minion permanently, and an extra +1% for each additional minion of that type absorbed.<br><br><hr><br>Melee Bonus Damage: +@f1@%<br>Caster Bonus Damage: +@f2@%<br>Siege Bonus Damage: +@f3@%"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8004,+18% Attack Speed,The Brazen Perfect,<pathBonus><pathPrecision>Precision</pathPrecision> + <pathSorcery>Sorcery</pathSorcery> Set Bonus</pathBonus>,<pathPrecision>Precision</pathPrecision> + <pathSorcery>Sorcery</pathSorcery><br>+18% Attack Speed
['Time Completed: @eogvar1@:@eogvar2@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/Legend_Heroism.png,9104,"Gain 3% attack speed plus an additional 1.5% for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.",Legend: Alacrity,"<lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">Takedowns</lol-uikit-tooltipped-keyword> on enemies grant permanent <b>Attack Speed</b>. ","Gain 3% attack speed plus an additional 1.5% for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.<br><hr><br>Total Attack Speed added: <scaleAD>@f1*100@%</scaleAD> (@f3@ of 10)<br>Progress towards next stack: @f2@%"
